geneID	logFC	logCPM	LR	PValue	FDR
g362	-3.74735883105155	6.00182549319167	496.972870867693	4.33128196624312e-110	3.61056938612487e-108
g11174	4.66318250329747	8.70325095047831	494.754926436244	1.3158438945442e-109	1.08888483448523e-107
g13804	-9.93584731626078	5.6972257209263	493.8694802001	2.05051989840586e-109	1.68454667305994e-107
g11939	-10.4632211860433	1.61956393349192	487.568229244655	4.81881653581739e-108	3.93028223500445e-106
g6325	-3.48693290972294	7.92815012166758	484.844163365298	1.88658093493677e-107	1.52772628995559e-105
g10012	2.68019357248072	4.34349700150996	484.269412926772	2.51615521017919e-107	2.02309585941854e-105
g7251	7.0030675849861	2.41974861131341	481.834951563404	8.52047644864974e-107	6.80258038720719e-105
g1866	3.77937594071105	3.78845356063045	480.676344031201	1.52255480525705e-106	1.20707719071323e-104
g3130	-10.7156776868623	11.6896818014493	477.426880227671	7.75625160361433e-106	6.10643225209553e-104
g2523	5.14922968581854	4.27212078422361	475.630381658726	1.90797129002324e-105	1.49177038034438e-103
g6115	4.08673323895349	6.22617260834551	473.883443963187	4.57836308262494e-105	3.55513029230952e-103
g3658	-2.51506228739102	6.11933343359363	472.39647206492	9.64454328565145e-105	7.43810797479119e-103
g10670	3.56889646094441	6.89120472228817	471.906360195514	1.23291339041227e-104	9.44428318047562e-103
g8826	9.46917940230256	7.98139614545705	468.227800137517	7.7877840398709e-104	5.92551058120915e-102
g5453	2.55264413057002	5.82061264097993	466.539552834921	1.8146513071532e-103	1.37151345794639e-101
g5440	-5.59137384922424	3.26886052560072	464.851270111541	4.22846752494129e-103	3.17471101524897e-101
g6933	11.1286122976154	2.7561064803395	461.388340174463	2.39753770999162e-102	1.78821611961678e-100
g12123	-2.14725462554925	5.855862308789	461.082350279279	2.79481939695374e-102	2.07090637276239e-100
g9072	4.42233979904358	5.80005755847581	458.866546937101	8.48302763607538e-102	6.24494053962251e-100
g6962	4.18543532452546	3.63477302015124	457.364605407941	1.80053757393634e-101	1.31694803069137e-99
g12271	-3.81050693520388	6.30430432826947	457.203302370338	1.95211304552868e-101	1.41866061520248e-99
g10434	1.90538093026231	5.48285695464608	456.143934922764	3.31929022380896e-101	2.39686581320523e-99
g3727	3.3497103132448	7.3030553625029	453.405328622695	1.30926627998571e-100	9.39439988366961e-99
g5540	-6.05735756428978	3.00642233761727	452.788206228872	1.78372900111622e-100	1.27183243306003e-98
g2902	1.9879686601603	5.96473583139864	451.132275769171	4.08979674615713e-100	2.89787660694896e-98
g119	9.25990686704743	5.14650525783997	450.838924913344	4.73742864191933e-100	3.33591481449935e-98
g3393	-4.81636965943444	6.38816640410469	449.349008405687	9.99515630591598e-100	6.99475845926972e-98
g12276	-4.6675543935848	3.40319037345398	448.944591857059	1.22405854049009e-99	8.51358998376453e-98
g2378	5.42236694591426	2.92288944310083	447.552453699707	2.45907952155021e-99	1.69991369120822e-97
g10856	6.01494699113919	5.27835079396277	447.071886522114	3.1286621567096e-99	2.14967532549192e-97
g8903	-6.25448396195695	3.97201605965532	445.699926555451	6.22214936646589e-99	4.24942815467613e-97
g353	4.39422388471345	5.70404458522011	445.154426200137	8.17822551175872e-99	5.55188878004842e-97
g2176	3.67600772714949	5.65568576944119	444.855792501789	9.49842594080229e-99	6.40974136255212e-97
