AVf1	AVf2	AVf3	AVm1	AVm2	AVm3	HtVf1	HtVf2	HtVf3	HtVm1	HtVm2	HtVm3
g76	4.11968792333191	3.33553856254393	5.72268556788718	5.06019540311413	5.52814515830612	5.36928408366098	4.35237107884063	6.48143545490858	6.04375022665716	6.43326336837757	10.0170337473339	5.61954281562765
g77	1.72346019616025	1.62530915454928	1.83787183063836	1.62510948375288	2.87196106355101	1.47529861737975	1.97687134982855	3.15821153974276	4.44808719952571	0.473476159121246	0.919150080469039	1.4526012201782
g78	1.51497425335097	1.60728354470216	1.27224214523857	0	0.22720874957483	0.333471248079499	0.434432603063575	0.70271666191596	0.791775965460862	0	0	0.19153213870495
g79	0	0	0.30023249752413	2.65475900399326	2.81496030961793	3.44289971776735	0.358821432454037	0.80612746839808	0	1.16019730593832	1.5015123451937	0
g80	10.8568901450136	10.4864175065244	11.2430097082032	11.7832880983139	12.298267978518	12.8353023806965	14.7927295135971	16.6894310425227	15.706924761143	21.5164581876518	22.8803386736053	18.2351257308962
g81	0.889537090599678	0.715938950188812	1.03036377331447	1.07377649459795	1.53343230439101	1.35035887133989	1.58327271281179	1.64411386668495	1.0687395142573	2.6165228164612	1.21464031966174	1.97775570322166
g82	0	0	0	0	0	0	0	0	0	0	0	0
g83	0.248363960928144	0.395245635310848	0.238366407125218	0	0	0.273345371531832	0.142441235307512	0	0.432677573044774	0.307042115308929	0.14901372516695	0
g84	0.387518236909161	0.668086593965145	0.37191921679112	0.102769925982009	0.096863619795101	0.106624081093977	0.333373103911197	0	0.112516626560107	0.359304603021088	0.0581259211644132	0.0612404769736277
g85	131.570808301684	122.657895491467	128.241127033367	47.5553818400929	43.5807037025395	44.8286409312204	234.458273316164	219.973620765958	223.261627691103	86.2788344018092	93.7296331300117	85.4070826506389
g86	90.8776935107092	85.6540624296566	72.4542807438672	6.2102398129128	6.05751610369795	6.29330041433753	242.367784302641	239.693566510477	240.897910560493	45.1918050281523	49.5829556282256	47.5923957913423
g87	0	0	0	0	0	0	0	0	0	0	0	0
g88	0	0	0	0	0	0	0	0	0	0	0	0
g89	0.046148708956243	0	0.0885821107559932	9.59510025148239	13.4270648101783	12.1135402400973	0.0529342428507644	0	0	1.31219012116823	0.0553767221904207	0.116687935855156
g90	25.2110068177298	20.6025308002294	23.6823536675298	65.001001747269	52.2628695963824	61.9750571879862	3.29374210384471	3.66223134455622	2.6567019627571	7.58124177823354	3.73773144361757	5.53782650447983
g91	5.91792698826455	5.97471468905452	5.46595639320133	7.89780497946519	7.88927109548546	7.84382370482648	2.33568236777534	2.16452735769248	1.25637742483498	1.49468483151164	1.14536947139193	1.40786531303503
g92	0.660968605695867	0.155831612488148	0.704846902789623	2.80462443163804	2.79029717667823	4.44553628432146	0.926633842591876	0.302803436158132	1.53530751725565	2.360592606945	0.528758379624662	0.278545395267145
g93	0.248363960928144	0.131748545103616	0	2.89811191269264	3.72484647030252	5.46690743063664	2.13661852961267	2.30405887331233	1.29803271913432	3.53098432605269	0.2980274503339	0.156998313696027
g94	3.25134610192674	4.46808564305075	4.50268812181422	3.33329165677109	3.7089791796942	4.34689005367314	3.42905657521437	3.32890295150202	2.9398114121679	5.01763712397819	5.91770160966515	4.66229816550982
g95	24.2028410279925	23.3107207133658	23.2593956926559	29.4370231549675	31.3076749735623	30.2230412130584	19.4404393002461	18.2971150474659	20.6719336040726	20.9129350940115	19.7404278868359	19.8850866772697
g96	595.566734174917	602.44444096884	603.404403654534	631.777742143787	677.415368920789	598.596215268146	518.098572570344	554.724762562427	580.05837136315	528.03906429645	494.999489843185	519.046814673355
g97	135.106114058021	124.147271622443	136.273888729732	86.2641124012418	71.2231385630111	79.4570149318019	165.25408939973	175.894494456122	178.107666591634	66.49380809659	79.7165221156791	87.0236746619777
g98	9.42070196623995	13.9926041006599	11.7539297306573	22.9850255144589	27.0800619823718	31.1048181398292	16.7491245654695	17.9645969624161	19.9678213307444	14.2668707027166	19.7828566169917	15.1855265488744
g99	101.605184325063	113.921744541915	107.989811970286	35.1806884246967	33.2996154381169	32.5478251669346	59.6858145265341	53.9989055532306	54.2185144366931	42.5664829445034	46.1328058429228	50.9192468956394
