geneID	logFC	logCPM	LR	PValue	FDR
g4356	3.0251861356536	5.45340687954064	170.374977095384	6.12728760082793e-39	7.08827138067206e-37
g14515	2.35975649134266	4.9485280894968	169.40465617137	9.98152324020698e-39	1.14303564620431e-36
g284	5.62124400194086	3.93277480900864	169.039288829172	1.19949596499852e-38	1.35986857551883e-36
g61	-4.42169302033603	3.7562852185915	168.555915602846	1.52959559484859e-38	1.71693319394045e-36
g3997	-7.37741103708089	4.04245290580081	166.627640459316	4.03427746376779e-38	4.48398074575837e-36
g14291	2.24442529403755	5.30287856323754	166.511468746446	4.27702522299608e-38	4.70763446146665e-36
g843	2.84690990524114	6.60549189361576	166.388203139737	4.55058814567869e-38	4.96057863534224e-36
g4650	1.93649850037086	5.5900270049955	165.09979800187	8.69980196043126e-38	9.39330045956278e-36
g9801	3.64125859158294	6.04349745643879	164.558356012493	1.14231767860919e-37	1.22174108701815e-35
g6125	3.10473566389084	8.60534621866505	162.375278084224	3.42532527714407e-37	3.62924417448433e-35
g14091	1.99110995606337	5.38616017965179	160.137182826512	1.05602845225625e-36	1.10853653363232e-34
g1113	3.47440316803166	5.85848103108302	158.799723088626	2.06966652974128e-36	2.15264306859421e-34
g14018	2.07492134866152	6.34916904085602	157.73342938862	3.53906206783855e-36	3.64748606028051e-34
g4981	4.04217299213947	7.01696873957028	156.822540397458	5.59663951326787e-36	5.71613532990251e-34
g14365	-1.48344227624355	3.62233153969991	156.794206357347	5.67699804388372e-36	5.74643989495622e-34
g3601	5.52706036647549	2.60259118544286	156.692229590143	5.97588520218417e-36	5.99545225992584e-34
g10623	2.82951418659455	4.26936892861919	156.259892726418	7.42806230613038e-36	7.38701248812282e-34
g4444	4.37330832845491	5.42356538472663	155.854036945167	9.11095114788496e-36	8.98181331857146e-34
g3362	1.55417059930971	6.57901949730959	155.639984310402	1.01470402010803e-35	9.91698230686613e-34
g12698	4.28926426334456	2.66171382693307	155.314541320312	1.19524597813077e-35	1.15816270547595e-33
g116	5.41907429518752	3.79103780796879	155.012222918147	1.39162652963241e-35	1.33702287851209e-33
g4911	-1.75721956225486	5.32892800987692	153.332832247453	3.23991344340152e-35	3.08663014351622e-33
g2775	-1.77684103873786	4.07314035100551	149.502957067743	2.22639722525143e-34	2.10338877855629e-32
g5364	3.60633977951434	4.88424983165789	149.407082488024	2.3364637462156e-34	2.18913136287986e-32
g9411	3.45144238729449	4.77178847374925	145.311318282851	1.83611353834072e-33	1.70623108066957e-31
